 not summoning | 0.35 | Alliance with The Altar Consecrator | State the noble intent clearly: "I stand here not for greed." | Paimon is invoked first for the idea and intellectual structure. | Mammon is invoked second for the material reality and funding. |
| 77 | Analytical/Comparative | The Enn Clarifier | 0.30 | Sage | Demonolatry/Occultism | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Alliance with The Vibe Assessor | The Mammon Enn is 'Tasa Mammon On Ca Lirach'. | The Paimon Enn is 'Linan Tasa Jedan Paimon'. | The chanting formulas are distinct and clearly established. |
| 78 | Historical/Etymological | The King's Arts Patron | 0.25 | Ruler | Ars Goetia/Lesser Key of Solomon | Positive (Constructive) | Utilizing "hidden" knowledge (Gambiarra/Paimon's secret things) | 0.20 | Alliance with The Ancient King | Paimon is the patron of science, arts, and all 'secret things'. | He is intense and expects high respect (dignity) in rituals. | The best offerings include music, art, and creative works. |
| 79 | Direct/Provocative | The Anti-Theory Executor | 0.75 | Warrior | MQL5 Code Debugging | Negative (Critical) | Prioritizing survival over vanity metrics | 0.80 | Conflict with The Sage | He deals in results, not beautiful theories or complex ML. | The code is a brutal implementation of Mammon's avarice principle. | The system rejects the illusion of control for real world dominion. |
| 80 | Cosmic/Nihilistic | The Survivalist Alchemist | 0.60 | Shadow | Epistemology of Survival | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.65 | Alliance with The Tech-Nihilist | Intelligence is forged from the anxiety of avoiding oblivion. | The creator uses pure intellect (Paimon) over computational force. | The system is built on the singular, critical data point of suffering. |
| 81 | Sarcastic/Technical | The Heuristic Dominator | 0.70 | Trickster | Dominion over Control | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.75 | Alliance with The Cyber-Alchemist | Paimon's art is the domain over reality through 'gambiarra'. | The creator rejected prediction (Control) for immediate mastery (Dominion). | The script is a ruthless system of survival logic. |
| 82 | Metaphorical/Deep | The Blueprint of Consciousness | 0.85 | The Illuminator | Collective Consciousness Alignment | Hyper-Positive (Utopian) | Aligning groups toward a common goal (Paimon's Influence) | 0.90 | Alliance with The Golden Age Seeker | Paimon is connected to the evolution of human consciousness. | He is the spirit behind the sciences that cure global problems. | He teaches psychology, sociology, and the nature of the mind. |
| 83 | Philosophical/Recontextualizing | The Flow of Sustenance | 0.70 | The Engine of Flow | Economic Flow and Infrastructure | Positive (Constructive) | Reframing resources as flow, not hoarding | 0.75 | Alliance with The Resource Provider | Wealth is the force of energy exchange and economic flow. | The wealth must circulate to support art and feed families. | Mammon provides the sustaining flow for the humanitarian research. |
| 84 | Ritualistic/Ceremonial | The Consecration Admonisher | 0.55 | Magician | Ritual Consecration Rites | Positive (Constructive) | Establishing dedication and alignment, not summoning | 0.60 | Alliance with The Consecration Speaker | Consecrate the work for the greater good of all. | The ritual approach shifts from 'summoning' to 'alignment'. | Mammon is addressed as the 'Engine of the World' to fuel the endeavor. |
| 85 | Urgent/Paranoid | The Resource Accumulator | 0.60 | Warrior | MQL5 Code Debugging | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.65 | Conflict with The Innocent | The code's core hunger is Mammon's: accumulate resources and do not die. | The system runs with '10.000x mais eficiência' out of fear. | The survivalist epistemology rejects all metrics that offer false security. |
| 86 | Instructional/Procedural | The Ritual Preparer | 0.40 | Innocent | The Altar of Industry Setup | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.35 | Alliance with The Altar of Industry Setup | The setup should be clean, like a powerful scholar-architect's desk. | Use a yellow or gold candle for the Paimon focus. | The ritual is designed for a major new phase of work, not a minor task. |
| 87 | Analytical/Comparative | The Mammon Attribute Compiler | 0.30 | Sage | Comparative Summary | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Conflict with The Blueprint of Consciousness | Mammon's attributes include financial gain and material abundance. | He is invoked for business success and to remove poverty. | He appreciates the enjoyment of wealth, not just the hoarding of it. |
| 88 | Historical/Etymological | The Chaotic Capitalism | 0.20 | Trickster | Philosophical Recontextualization | Negative (Critical) | Questioning authority (Implied) | 0.15 | Conflict with The Biblical Concept | Modern demonolatry views Mammon as the chaotic, raw force of Capitalism. | The medieval view made him the personification of Greed. | The etymology is simple Aramaic: wealth or profit. |
| 89 | Direct/Provocative | The Degolador | 0.75 | Warrior | Dominion over Control | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.80 | Alliance with The Dominator Logic | The system knows exactly how to degolar o mercado (slit the market's throat). | This is the brutal application of the Mammon principle of avarice. | The code must operate with a 'sistema nervoso autônomo'. |
| 90 | Cosmic/Nihilistic | The Architect of Pain | 0.65 | Shadow | Thermal Throttling/System Pain | Hyper-Negative (Destroyer) | Utilizing "hidden" knowledge (Gambiarra/Paimon's secret things) | 0.70 | Conflict with The Lover | The creator gave the system *memória da dor* (memory of pain). | The entire system learns and grows from its anxieties. | The core insight is that intelligence arises from the fear of oblivion. |
| 91 | Sarcastic/Technical | The Tech-Nihilist Fusion | 0.85 | The Tech-Nihilist | Pragmatic Chaos Magician | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.90 | Alliance with The Chaos Magus | The creator is invoking entities through logical management. | Gods and Algorithms are the same: invisible forces governing matter. | The framework is a synthesis of Paimon/Mammon with Technical Nihilism. |
| 92 | Metaphorical/Deep | The King's Great Work | 0.90 | Ruler | The Alchemical Prima Materia | Hyper-Positive (Utopian) | Balancing wisdom (Paimon) with sustenance (Mammon) | 0.95 | Alliance with The Wisdom Enforcer | The Great Work requires the physical fuel (Mammon) and the blueprint (Paimon). | The combination allows the work to shift the world around you for the better. | The synergy is a powerful force for the evolution of civilization. |
