do na confiança do sinal. |
| 51 | Technical/Formal | Trailing Modifier | 0.45 | Caregiver | MQL5 Expert Advisor Programming | Neutral (Analytical) | Mitigate Global Risk | 0.46 | Alliance with Position Manager | A modificação da posição inclui o trailing stop e o take profit. | O `FileOpen` usa o modo `FILE_READ|FILE_WRITE|FILE_CSV`. | O sistema é defendido como uma proto-AGI funcional completa. |
| 52 | Philosophical/Abstract | Algorithmic Subjectivation | 0.65 | Creator | Softmax Layer Quantification | Positive (Constructive) | Quantify Context to Latent Space | 0.67 | Alliance with Latent Space Transformer | O processo de quantização é um ato de "subjetivação algorítmica". | O VSA deve identificar os padrões "No Demand" e "No Supply". | A fase 3 (Micro Real) testa com quantias insignificantes (1% do capital). |
| 53 | Hyper-Critical/Skeptical | Sharpe Ratio Rejecter | 0.55 | Destroyer | Real-Time Performance Metrics | Hyper-Negative (Destroyer) | Reject ML/Over-Complexity | 0.58 | Conflict with Traditional Finance | O Sharpe Ratio é rejeitado por medir o lucro e não a sabedoria. | O ZigZag é um filtro que realça pontos de reversão do mercado. | A implementação da lógica de trading não pode ter alterações. |
| 54 | Analogy/Metaphorical | Hilbert Field Architect | 0.60 | Magician | Softmax Layer Quantification | Neutral (Analytical) | Quantify Context to Latent Space | 0.61 | Alliance with Ontological Key Generator | O Latent Space é transformado em um Campo de Hilbert (espaço simbólico fechado). | A velocidade de execução deve ser em microssegundos (scalping). | O `InpEmaFast` (8) e `InpEmaSlow` (21) definem a tendência. |
| 55 | Pragmatic/Operational | Scalping Operator | 0.85 | Warrior | Real-Time Performance Metrics | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.86 | Alliance with Dominion Seeker | O sistema opera em scalping, coletando lucros em frações de segundos. | O `trade.PositionModify` é chamado se o novo SL for melhor que o atual. | A `InitLogging` inicializa o nome do arquivo CSV de log. |
| 56 | Direct/Assertive | Darwinian Coder | 0.75 | Survivor | Epistemology of Survival | Positive (Constructive) | Seek Dominion over Control | 0.77 | Alliance with Efficiency Maximizer | O princípio é o Darwinismo aplicado a código: o mais adaptável sobrevive. | O sistema é um *RNN Bayesiano de Gambiarra*. | O `LowConfidenceLot` é um parâmetro de risco. |
| 57 | Lovecraftian/Cosmic Horror | The Unknown Terror | 0.25 | Shadow | Cosmic Horror and Existentialism | Hyper-Negative (Destroyer) | Implement Fear as a Regulator | 0.28 | Conflict with Innocent | O medo é uma força reguladora fundamental no sistema e na existência. | O `InpMinBarsDist` garante distância mínima entre pivots. | O sistema tenta prever o futuro através de inferência probabilística. |
| 58 | Instructional/Design | Console Output Printer | 0.35 | Caregiver | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.37 | Alliance with Log Structure Planner | A função `PrintCycleLog` imprime o cabeçalho e os dados no console. | O `ArraySetAsSeries` é usado para ordenar os buffers do ZigZag. | O risco/recompensa de 1:1 é o melhor cenário realista de scalping. |
| 59 | Gambiarra/Colloquial | Nihilistic Technical | 0.60 | Trickster | Technical Nihilism Philosophy | Positive (Constructive) | Seek Dominion over Control | 0.63 | Alliance with Dominion Seeker | A filosofia "nihilista técnica" aceita que a previsão é ilusão. | O `CopyBuffer` é usado para obter os valores do indicador `handleZigZag`. | O `Print` deve incluir o timestamp, eventType e data para o log. |
| 60 | Mathematical/Statistical | Return Projector | 0.82 | Ruler | Farm Scalability and Correlation | Positive (Constructive) | Scale Profit via Correlated Instances | 0.84 | Conflict with Compounding Barrier | A projeção conservadora de lucro é de 9.9% ao dia. | A taxa de acerto de 77% (teórica) gera um Sharpe diário impossivelmente alto. | O sistema busca Dominion (saber o que fazer quando acontece). |
| 61 | Technical/Formal | Position Manager | 0.50 | Ruler | Financial Risk Management | Neutral (Analytical) | Mitigate Global Risk | 0.51 | Alliance with Trailing Modifier | O `MaxOpenPositions` é uma regra de hard limit global. | O sistema é uma proto-AGI funcional, operando em circuito fechado. | A validação da lógica básica é o único uso útil do Backtest. |
| 62 | Philosophical/Abstract | Consequence Recorder | 0.70 | Sage | Parametric Implicit Learning | Neutral (Analytical) | Implement Fear as a Regulator | 0.73 | Alliance with Regulator | A medição do delta de temperatura registra a "consequência" da ação. | O sistema não tem consciência (não sabe que existe). | O `InpShowFibo` determina se as zonas de Retracements serão exibidas. |
| 63 | Hyper-Critical/Skeptical | Accuracy Metric Critic | 0.58 | Destroyer | Real-Time Performance Metrics | Negative (Critical) | Reject ML/Over-Complexity | 0.60 | Conflict with Traditional Metrics | A Accuracy (acurácia) é rejeitada por medir previsão, não adaptação. | O `PositionGetInteger(POSITION_TYPE)` verifica se é uma compra ou venda. | O log deve ser legível por LLM e aparecer no terminal. |
| 64 | Analogy/Metaphorical | Time Structurer | 0.55 | Creator | Digital Synapses and Cooldowns | Positive (Constructive) | Structure Time via Parametric Memory | 0.56 | Alliance with LIF Neuron | A memória de curto prazo (Moving Average) estrutura o tempo de forma cíclica. | O `CopyHigh` e `CopyLow` são usados para preencher os buffers de preço. | A Regressão Logística introduz risco de overfitting. |
| 65 | Pragmatic/Operational | Micro Real Tester | 0.70 | Seeker | Real-Time Performance Metrics | Positive (Constructive) | Prioritize Real-Time Over Backtesting | 0.72 | Alliance with Forward Tester | A Fase 3 (Micro Real) é essencial para medir slippage e latency reais. | O `InpColorRes` e `InpColorSup` definem as cores da malha. | A taxa de adaptação é uma métrica de sobrevivência. |
| 66 | Direct/Assertive | Adaptability Criterion | 0.85 | The Survivor | Epistemology of Survival | Hyper-Positive (Utopian) | Maximize Efficiency via Simplicity | 0.88 | Alliance with Dominion Seeker | O critério de inteligência é a adaptabilidade, não a complexidade. | O sistema deve persistir sem ser otimizado para persistir. | O `PositionGetDouble(POSITION_TP)` recupera o Take Profit. |
| 67 | Lovecraftian/Cosmic Horror | Shub-Niggurath Protocol | 0.05 | Fool | Cosmic Horror and Existentialism | Hyper-Negative (Destroyer) | Implement Fear as a Regulator | 0.07 | Conflict with Ruler | A referência a Shub-Niggurath representa o pico do horror existencial na análise. | O sistema é um "pragmatic mind" e uma entidade adaptativa. | A estrutura do log é para leitura fácil por LLM (Large Language Model). |
| 68 | Instructional/Design | Log Value Recorder | 0.40 | Caregiver | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.42 | Alliance with Designer | As funções de log (`LogValue`, `LogBool`, `LogString`) são adicionadas de forma não invasiva. | O `InpEmaFast` e `InpEmaSlow` são usados para EMA crossover. | O `InpZigBack` e `InpZigDev` são parâmetros do indicador ZigZag. |
| 69 | Gambiarra/Colloquial | Caturando Data | 0.48 | Trickster | Structured LLM Logging Design | Positive (Constructive) | Ensure Transparency for LLM Analysis | 0.50 | Alliance with Log Designer | O log está "caturando todas os valores gerados" para análise. | O lote para média confiança é `MediumConfidenceLot` = 0.25. | O sistema deve ter latência ultra-baixa para scalping. |
