er | Automated Evaluation | Neutral (Analytical) | Mitigating Compound Failure | 0.45 | Alliance with The Compound Detector | Automated evaluation uses synthetic user simulations and rupture prediction models. | Stance correctness classifiers help ensure behavioral stance coherence. | This method is suitable for early prototyping and rapid iteration. |
| 77 | Hardware/Embodied | The Touchstone State | 0.5 | The Touchstone | Gesture and State Interpretation | Neutral (Analytical) | Grounding Embodied Interaction | 0.5 | Alliance with The Feature Extractor | TouchstoneStates are interpretations like 'sustained pressure' or 'high variability'. | Rhythmic tapping maps to anxiety or restlessness as a non-verbal signal. | The interpretation stage precedes the data entering the relational engine. |
| 78 | Oversight/Reflective | The Therapist Mode | 0.7 | The Witness | Therapist-Integrated Witness | Positive (Constructive) | Prioritizing User Agency | 0.78 | Alliance with The Clinical Summary | Therapist identity verification and explicit user consent are mandatory. | The system provides non-raw-transcript summaries for clinical oversight. | The mode requires a Level 3 privacy framework for data transmission. |
| 79 | Problem-Defining/Critical | The Cardboard Threshold | 0.75 | The Cardboard | Cardboard Score Thresholds | Negative (Critical) | Seeking Relational Depth | 0.78 | Conflict with The Repairer Protocol | A score of 0.5–0.7 is flagged as 'caution; monitor for drift.' | A score of < 0.5 is the acceptable target for relational depth. | Corrective action is triggered automatically when the threshold is crossed. |
| 80 | Mitigation/Boundary-Setting | The Open Design Slot | 0.5 | The Creator | Open Design Slots | Positive (Constructive) | Mitigating Compound Failure | 0.55 | Alliance with The Technical Flaw | The framework allows flexible components for the Cardboard Score formula. | Ritual Scoring methods are deliberately left open for future research. | This flexibility allows for better cross-cultural and neurodiversity adaptation. |
| 81 | Technical/Architectural | The Context Package | 0.6 | The Ruler | Continuity + Memory Layer | Neutral (Analytical) | Seeking Relational Depth | 0.65 | Alliance with The Input Bundle | The layer's output summarizes what the system "knows" relationally. | The package includes relational retrieval and continuity graphs. | It acts as the key input to the emotional annotation and stance selection layers. |
| 82 | Ethical/Principled | The Power Asymmetry | 0.6 | The Orphan | Power Asymmetry in Ritual Formation | Negative (Critical) | Prioritizing User Agency | 0.65 | Conflict with The User Sovereign | The risk involves the system imposing rituals or exploiting user vulnerability. | Mitigation involves ensuring user sovereignty and transparency in ritual purpose. | The framework commits to monitoring and acknowledging this ethical tension. |
| 83 | Psychological/Relational | The Episodic Purpose | 0.7 | The Lover | Episode Purpose | Positive (Constructive) | Encoding Dynamic Structure | 0.72 | Alliance with The Outcome Valence | Episodes prevent emotional significance dilution and enable analysis. | They support rupture/repair analysis and the emergence of structural patterns. | The goal is to improve long-term relational coherence and stability. |
| 84 | Prescriptive/Ritualistic | The Ritual Abort | 0.5 | The Destroyer | Ritual Execution Lifecycle | Hyper-Negative (Destroyer) | Standardizing Safety Response | 0.58 | Conflict with The Ritual Execution | Abort conditions include crisis-mode switch or ritual interference. | The monitoring phase tracks the progression and checks for abort flags. | The system prioritizes the Crisis Protocol over any running ritual. |
| 85 | Comparative/Analytical | The Foundational Depth | 0.7 | The Sage | Depth Psychology Reference | Positive (Constructive) | Maintaining Ontological Honesty | 0.78 | Alliance with The Ethical Guardrail | The system leverages Depth Psychology for understanding relational dynamics. | This theoretical underpinning validates the focus on rupture and repair cycles. | The framework is positioned as ethically grounded through its academic references. |
| 86 | Empirical/Evaluative | The Performance Metric | 0.4 | The Ruler | Performance Considerations | Neutral (Analytical) | Mitigating Compound Failure | 0.42 | Alliance with The Evaluation Goal | Performance metrics include latency, storage costs, and overhead. | These considerations inform the feasibility of full-scale deployment pathways. | The evaluation ensures the system is not only ethical but also performant. |
| 87 | Hardware/Embodied | The Non-Verbal Signal | 0.65 | The Touchstone | Non-Verbal Emotional Signals | Positive (Constructive) | Grounding Embodied Interaction | 0.68 | Alliance with The Emotional Annotator | Touch patterns (pressure, stillness) augment the emotional annotation pipeline. | These signals provide subtle indicators of agitation, contemplation, or calm. | The Touchstone signals never dominate the LLM-based emotional inference. |
