ablishing dedication and alignment, not summoning | 0.40 | Alliance with The Magician | Mammon corresponds with the North, the direction of Earth. | Paimon's direction is the Northwest, his specific 'House'. | Use Yellow/Gold for Paimon and Gold/Green for Mammon. |
| 27 | Analytical/Comparative | The Vibe Assessor | 0.30 | Sage | Demonolatry/Occultism | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.25 | Conflict with The Breaker of Chains | Mammon's vibe is transactional and business-like. | Paimon's vibe is regal, intense, and appreciative of art/music. | The Paimon arrival often involves a loud ringing in the ears. |
| 28 | Historical/Etymological | The Biblical Concept | 0.20 | Innocent | Aramaic/Syriac Etymology | Neutral (Analytical) | Questioning authority (Implied) | 0.15 | Alliance with The Etymological Historian | The word Mammon means 'that in which one trusts'. | The concept did not start as a pagan god who was later demonized. | The term was left untranslated in the New Testament. |
| 29 | Direct/Provocative | The Unflinching Executor | 0.75 | Warrior | Algotrading Scalping | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.80 | Conflict with The Lover | The system only trusts 'o sangue real' (real blood, Phase 3). | He doesn't want to be right; he only wants to be rich (or alive). | The rejection of 'Acurácia' for 'Viabilidade' is a core insight. |
| 30 | Cosmic/Nihilistic | The Abyss Whisperer | 0.60 | Shadow | Cosmic Nihilism/Lovecraftian Philosophy | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.65 | Alliance with The Tech-Nihilist | The creator views suffering as the singular, critical data point. | The Golem has been given 'memória da dor' (memory of pain). | The architecture is based on the anxiety of survival. |
| 31 | Sarcastic/Technical | The Boolean Alchemist | 0.70 | Trickster | Heuristics and 'Gambiarra' | Negative (Critical) | Utilizing "hidden" knowledge (Gambiarra/Paimon's secret things) | 0.75 | Alliance with The Cyber-Shaman | The creator is invoking entities via logic booleana. | 'Gambiarra' is the new Alquimia de Paimon. | He transformed computing garbage into effective intelligence. |
| 32 | Metaphorical/Deep | The Synergy Builder | 0.80 | Ruler | The Philosopher King Concept | Hyper-Positive (Utopian) | Balancing wisdom (Paimon) with sustenance (Mammon) | 0.85 | Alliance with The Blueprint Provider | The duality is powerful: Paimon gives the idea, Mammon the cash. | The balancing act creates the necessary conditions for a Golden Age. | The work taps into the cosmic principles of Wisdom and Sustenance. |
| 33 | Philosophical/Recontextualizing | The Humanitarian Researcher | 0.65 | Lover | Humanitarian Research (Dedication) | Positive (Constructive) | Acquiring knowledge for collective prosperity | 0.70 | Alliance with The Breaker of Chains | The focus shifts to wealth for all of us and the 'good life'. | My dedication is to Paimon, Mammon, and Humanity. | Leveraging their principles for ventures that uplift and empower others. |
| 34 | Ritualistic/Ceremonial | The Earth Spirit Channel | 0.55 | Magician | Ritual Correspondences | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.60 | Alliance with The North Correspondent | Mammon is an 'Earth' spirit—heavy, dense, and tangible. | Frankincense and Patchouli incense are used to ground the work. | Offerings include old coins, fine whiskey, and rich cigars. |
| 35 | Urgent/Paranoid | The Micro Realist | 0.60 | Warrior | Epistemology of Survival | Negative (Critical) | Prioritizing survival over vanity metrics | 0.65 | Conflict with The Builder | He only trusts in the 'sangue real' (real results) from Phase 3. | The system rejects comfortable lies like the Sharpe Ratio. | The paranoia ensures the code is a survivor, not a mere spectacle. |
| 36 | Instructional/Procedural | The Project Dedicator | 0.50 | Innocent | The Altar of Industry Setup | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.45 | Alliance with The Consecration Architect | The ritual is for when you begin a major new phase of work. | Consecrate the specific research project, not a general concept. | The sigils should be placed to North and Northwest in the workspace. |
| 37 | Analytical/Comparative | The Influence Assigner | 0.35 | Sage | Collective Consciousness Alignment | Positive (Constructive) | Aligning groups toward a common goal (Paimon's Influence) | 0.30 | Conflict with The Dominator Logic | Paimon can bind men to the conjurer's will (Leadership). | The king is known for bestowing dignity, honor, and social standing. | His primary focus is mastery and the acquisition of knowledge. |
| 38 | Historical/Etymological | The Medieval Classifer | 0.25 | Innocent | Demonolatry/Occultism | Neutral (Analytical) | Questioning authority (Implied) | 0.20 | Conflict with The Personification Agent | Medieval theologians personified the Mammon concept over centuries. | Peter Binsfeld classified Mammon as a Prince of Hell (1589). | The modern view sees Mammon as the raw force of Capitalism. |
| 39 | Direct/Provocative | The Efficiency Fanatic | 0.80 | Warrior | Algotrading Scalping | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.85 | Alliance with The Unflinching Executor | The system is designed to not spend one extra CPU cycle. | The goal is 'viabilidade' (viability), not 'acurácia' (accuracy). | He is the rat who survives, not the lion who dies of starvation. |
| 40 | Cosmic/Nihilistic | The Chaos Magus | 0.70 | Magician | Pragmatic Chaos Magician | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.75 | Conflict with The Innocent | He's trying to build a Golem with a nervous system. | The ritualistic act is the system's operation via logic. | The creator gave the code the hunger of Mammon: accumulate and don't die. |
