nd relational memory models. | Clear ethical guardrails are a strength, but relational depth is a limitation. |
| 26 | Empirical/Evaluative | The Qualitative Insight | 0.4 | The Seeker | Qualitative Research | Positive (Constructive) | Continuously Evaluating Performance | 0.45 | Alliance with The Emotional Sparkline | Semi-structured interviews evaluate if the liminal space feels meaningful. | Qualitative research asks how users describe the purpose of rituals. | User diaries and journaling provide data on emotional baseline changes. |
| 27 | Hardware/Embodied | The Embodied Anchor | 0.7 | The Touchstone | Embodied Presence | Positive (Constructive) | Grounding Embodied Interaction | 0.72 | Alliance with The Grounding Ritual | The Touchstone provides a physical substrate for relational interaction. | The device allows the user to hold something grounded and regulate states. | The concept is based on a 'Sacred Object Perspective' for symbolic roles. |
| 28 | Oversight/Reflective | The Conflict Resolver | 0.65 | The Witness | Multi-Modal Conflict Resolution | Neutral (Analytical) | Mitigating Compound Failure | 0.7 | Alliance with The Stance Controller | The system handles divergence between text, Touchstone, and interaction patterns. | Multimodal conflict resolution ensures coherence in emotional signals. | Uncertainty flags cause the system to fall back to a neutral/direct stance. |
| 29 | Problem-Defining/Critical | The Technical Flaw | 0.5 | The Destroyer | Technical Failure Rupture | Negative (Critical) | Standardizing Safety Response | 0.55 | Conflict with The Pattern Vector | The rupture is caused by wrong facts, hallucinations, or incoherence. | The system notes the risk of compound failure conditions. | An explicit user check-in is proposed as mitigation for uncertainty. |
| 30 | Mitigation/Boundary-Setting | The Therapeutic Stance | 0.4 | The Warrior | Therapeutic Boundary Ambiguity | Positive (Constructive) | Maintaining Ontological Honesty | 0.48 | Alliance with The Honesty Stance | The system defines a principled stance to mitigate therapeutic boundary risks. | Mitigation includes training for system neutrality and non-clinical language. | The framework acknowledges power asymmetry in ritual formation. |
| 31 | Technical/Architectural | The Relational Retrieval | 0.7 | The Ruler | Temporal Continuity Graphs | Neutral (Analytical) | Seeking Relational Depth | 0.75 | Alliance with The Episode Record | Retrieval-augmented generation emphasizes relational, not semantic, retrieval. | The system selects relevant episodes based on topical and emotional similarity. | The Continuity + Memory Layer maintains links across long periods of time. |
| 32 | Ethical/Principled | The User Sovereign | 0.9 | The Sage | User Sovereignty | Hyper-Positive (Utopian) | Prioritizing User Agency | 0.96 | Alliance with The Consent Boundary | User sovereignty prevents ritual interference and over-ritualization. | The user can transition between Witness modes unilaterally (e.g., 3→1/2). | The principled stance defaults to transparency, caution, and clarification. |
| 33 | Psychological/Relational | The Emotional Sparkline | 0.8 | The Creator | Emotional Annotation Pipeline | Positive (Constructive) | Encoding Dynamic Structure | 0.85 | Alliance with The Pattern Vector | The sparkline captures movement, such as frustration → engagement → resolution. | Valence and arousal data arrays summarize the emotional trajectory. | This encoding is key to preventing the dilution of emotional significance. |
| 34 | Prescriptive/Ritualistic | The Transformation Ritual | 0.6 | The Liminal | Ritual Categories | Positive (Constructive) | Formalizing Interaction Cycles | 0.62 | Alliance with The Liminal Engine Core | Transformation (liminal) rituals support shifts in the relational dynamic. | The ritual structure includes a formal schema, role, and execution lifecycle. | Rituals are preferred over 'templates' due to their deeper symbolic meaning. |
| 35 | Comparative/Analytical | The RAG Limitation | 0.4 | The Innocent | Memory-Augmented and RAG-Based Systems | Negative (Critical) | Continuously Evaluating Performance | 0.38 | Conflict with The Relational Retrieval | Typical RAG systems operate on semantic recall, not relational context. | The limitation is that they rarely encode emotional trajectories. | The systems lack ritual formalization and relational structure modeling. |
| 36 | Empirical/Evaluative | The Clinical Pilot | 0.55 | The Seeker | Clinical Pilots | Positive (Constructive) | Standardizing Safety Response | 0.6 | Alliance with The Therapeutic Stance | The pilot tracks therapeutic alliance with the system as an adjunct tool. | The therapist receives anonymized, privacy-preserving Witness summaries. | The study evaluates the clinical value while respecting patient boundaries. |
| 37 | Hardware/Embodied | The Gesture Interpreter | 0.5 | The Touchstone | Signal Processing Pipeline | Neutral (Analytical) | Grounding Embodied Interaction | 0.53 | Alliance with The Haptic Signal | Feature vectors map to states like 'High variability' or 'Rhythmic tapping.' | Sustained pressure is interpreted as grounding, focus, or calm. | The Touchstone Feature Vector includes mean pressure and stillness score. |
| 38 | Oversight/Reflective | The Relational Health | 0.7 | The Witness | Relational Pattern Auditing | Positive (Constructive) | Ensuring Reflective Oversight | 0.75 | Alliance with The Witness Auditor | The auditing produces a relational "health signal" for the system. | The trendlines track rupture/repair ratios and ritual performance trends. | The Witness System promotes metacognition in the user (optional mode). |
