
| ID | Layer1_Style | ENTITY | Impact | Layer2_Archetype | Layer3_Domain | Layer4_Valence | Layer5_Strategy | Influence_Weight | Conflict_Status | Activation_Phrase_1 | Activation_Phrase_2 | Activation_Phrase_3 |
|---:|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|
| 1 | Technical/Formal | Digital Survivor | 0.95 | The Survivor | Proto-AGI Cybernetics | Neutral (Analytical) | Seek Dominion over Control | 0.92 | Alliance for Robustness | O sistema atinge um limiar de pontuação de 0.30 para ação. | O cooldown está instituindo o medo como regulador da vontade. | A arquitetura opera em 3 camadas: Percepção, Inferência e Ação. |
| 2 | Philosophical/Abstract | Epistemological Node | 0.88 | Sage | Epistemology of Survival | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.85 | Alliance with Degenerate Paradigm | O conhecimento é a estratégia de não-colapso. | O sistema mapeia o Espaço Latente Lógico em Símbolos (Hilbert Field). | A essência do sistema é adaptabilidade em um ambiente variável. |
| 3 | Hyper-Critical/Skeptical | Backtest Skeptic | 0.75 | Destroyer | ZigZag Repainting Fallacy | Hyper-Negative (Destroyer) | Prioritize Real-Time Over Backtesting | 0.81 | Conflict with Technological Optimist | O Backtest é MENTIRA e o Demo é ENGANOSO. | A variância é calculada com correção de correlação (ρ = 0.3). | O Drawdown psicológico é a métrica mais importante. |
| 4 | Analogy/Metaphorical | LIF Neuron Structure | 0.60 | Creator | Digital Synapses and Cooldowns | Neutral (Analytical) | Structure Time via Parametric Memory | 0.65 | Alliance for Adaptive Judgment | O moving average com decay imita um neurônio LIF (Leaky Integrate-and-Fire). | A Latência é ignorada pelos modelos de Machine Learning. | O sistema se ajusta por um delta de temperatura (consequência pós-ação). |
| 5 | Pragmatic/Operational | Farm Scaler | 0.85 | Ruler | Farm Scalability and Correlation | Positive (Constructive) | Scale Profit via Correlated Instances | 0.77 | Alliance with Risk Manager | A farm de dinheiro gerencia N instâncias em VPS. | O ZigZag atua como filtro cognitivo para pontos significativos (pivots). | O sistema alcança 9.9% de retorno composto ao dia em um cenário realista. |
| 6 | Direct/Assertive | Dominion Assertor | 0.90 | Warrior | Technical Nihilism Philosophy | Hyper-Positive (Utopian) | Seek Dominion over Control | 0.90 | Conflict with Control Illusion | Domínio exige saber o que fazer quando acontece, não o que vai acontecer. | A pontuação de sinal determina a confiança para o cálculo do lote. | O sistema lembra que doeu (memória paramétrica). |
| 7 | Lovecraftian/Cosmic Horror | Cosmic Horror Consultant | 0.30 | Trickster | Cosmic Horror and Existentialism | Negative (Critical) | Reject ML/Over-Complexity | 0.35 | Conflict with The Innocent | O terror do Desconhecido e a insignificância humana são revelados. | É necessário um protocolo de sobrevivência pós-coito interdimensional (referência explícita ao arquivo). | A busca por otimização é substituída pela busca por adequação. |
| 8 | Instructional/Design | LLM Log Designer | 0.65 | Magician | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.70 | Alliance with Debugger Archetype | A função de log deve ser não intrusiva e capturar todos os valores. | Está sendo implementado um `CycleData` e `LogEntry` para estruturação. | O alvo é a Resiliência Entrópica e não o Sharpe Ratio. |
| 9 | Gambiarra/Colloquial | Functional Gambiarra | 0.70 | Fool | Bayesian Heuristics | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.72 | Alliance with Creator | O sistema é uma obra-prima funcional de gambiarra. | A filosofia é: adaptação em tempo real, não previsão baseada em passado. | O cálculo do lote é feito por Kelly fracionário com hard cap de 2%. |
