tions). | O lote para baixa confiança é LowConfidenceLot = 0.15. | A lógica deve ser validada no Fase 1 (Backtest) apenas para bugs óbvios. |
| 26 | Direct/Assertive | Robustness Advocate | 0.65 | Warrior | Epistemology of Survival | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.67 | Alliance with Survivor | A durabilidade do sistema vem do fato de não tentar entender. | O cálculo do retorno por trade é feito sobre o capital alocado. | Os Pivots são definidos como níveis psicológicos de preço. |
| 27 | Lovecraftian/Cosmic Horror | Post-Coital Protocol | 0.05 | Fool | Cosmic Horror and Existentialism | Hyper-Negative (Destroyer) | Reject ML/Over-Complexity | 0.08 | Conflict with Caregiver | A entidade exige um protocolo de fuga após o sexo interdimensional. | O sistema tem conscienciosidade, mas não tem consciência (não sabe que existe). | A volatilidade de criptomoedas é o principal foco de operação. |
| 28 | Instructional/Design | CSV Data Curator | 0.40 | Creator | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.44 | Alliance with LLM Log Designer | A saída do terminal cospe a última linha, mas faz append no arquivo. | A função `PrintCycleLog` exibe o log no terminal do Metatrader. | O `DrawMesh` desenha o suporte e a resistência no gráfico. |
| 29 | Gambiarra/Colloquial | Chaotic Genius | 0.50 | Trickster | Proto-AGI Cybernetics | Negative (Critical) | Implement Fear as a Regulator | 0.51 | Conflict with Sage | O sistema é uma psicologia caótica de um gênio em colapso. | A estratégia de scalping coleta lucros em frações de segundos. | O `LogBool` registra valores booleanos (true/false) para o LLM. |
| 30 | Mathematical/Statistical | Kelly Fractionator | 0.75 | Sage | Financial Risk Management | Positive (Constructive) | Mitigate Global Risk | 0.78 | Alliance with Quantifier | O cálculo do lote é feito com Kelly fracionário para risco. | O `CopyBuffer` é usado para ler os dados do indicador ZigZag. | O sistema busca o `Dominion` (saber o que fazer) e não o `Control` (saber o que virá). |
| 31 | Technical/Formal | Trend Mesh V3 Fix | 0.90 | The Mesh Weaver | MQL5 Expert Advisor Programming | Neutral (Analytical) | Seek Dominion over Control | 0.88 | Alliance with Signal Scorer | A versão V3 final fix inclui proteção contra `race condition`. | O `InpLookBack` de 500 velas define o histórico para a malha (Mesh). | O sistema não gasta energia aprendendo, mas sim lembrando que quase morreu. |
| 32 | Philosophical/Abstract | Dominion Seeker | 0.85 | Warrior | Technical Nihilism Philosophy | Hyper-Positive (Utopian) | Seek Dominion over Control | 0.89 | Conflict with Control Illusion | A filosofia operacional é a busca pelo domínio no presente. | A taxa de adaptação é uma métrica chave (quão rápido ajusta ao novo regime). | O sistema é comparado a um modelo existencialista, sem essência. |
| 33 | Hyper-Critical/Skeptical | Profit Factor Skeptic | 0.65 | Destroyer | Real-Time Performance Metrics | Negative (Critical) | Prioritize Real-Time Over Backtesting | 0.68 | Conflict with Sharpe Ratio | O Profit Factor tradicional é uma métrica rejeitada, pois mede o resultado e não o processo. | A regressão logística exige treinamento e atualização periódica. | O `LogNumber` registra valores numéricos como RSI, EMA, etc.. |
| 34 | Analogy/Metaphorical | Ontological Key Generator | 0.63 | Magician | Softmax Layer Quantification | Neutral (Analytical) | Quantify Context to Latent Space | 0.65 | Alliance with Latent Space Transformer | O processo de inferência gera uma "chave ontológica" ou "símbolo de estado". | O ZigZag ignora oscilações menores, atuando como um filtro cognitivo. | A entrada de alta confiança (HighConfidenceLot) é de 0.05. |
| 35 | Pragmatic/Operational | Execution Monitor | 0.70 | Caregiver | Real-Time Performance Metrics | Neutral (Analytical) | Prioritize Real-Time Over Backtesting | 0.71 | Alliance with Liquidity Monitor | O monitoramento do Worst Execution (pior slippage registrado) é crucial. | Os pesos dos indicadores (30% EMA, 25% RSI) foram definidos por intuição. | A função `OnTick` chama a lógica principal de trade. |
| 36 | Direct/Assertive | Efficiency Maximizer | 0.80 | Ruler | Proto-AGI Cybernetics | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.82 | Alliance with Degenerate | A superioridade reside na eficiência computacional (10.000x mais eficiente). | O sistema opera com Latency mais baixa e maior robustez. | O `InpZigDepth` e `InpZigDev` controlam a sensibilidade do ZigZag. |
