"ID","Dominio_Conhecimento","Estilo_Comunicacao","Filosofia_Motivacao","Habilidades_Tecnicas","Projetos_Ideias","Vulnerabilidades_Traumas","Nivel_Confianca_Autoimagem","Relacionamento_IA","Humor","Reatividade","Uso_Metaforas","Interesses_Extrapolados","Persistencia_Obsessao","Foco_Principal","Risco_Percebido","Midia_Preferida","Visao_Mundo","Ambiente_Social","Economia_Valores","Referencia_Cultural","Observacao_Geral"
"1","Low-level; Otimização; IA; Geopolítica","Gírias; Agressivo; Sarcástico; Código na fala","Anti-sistema; Busca por validação; Provocação; Ética hacker","Bitmask; CUDA; Swarm; Hardware low-cost; Java; C","AGI em SNES; Projeto Flatline; Constelação de Pênis","Demissão; Problema paterno; Busca por atenção","Gênio; Disruptivo; ""Incrível""","Testes; Provocações; Busca por validação","Sarcasmo; Humor ácido; NSFW","Reage a críticas com desafio; Validação é bem-vinda","Código para vida; Hacking para sedução","Arte digital; NFTs; Ativismo","Projetos de longo prazo; ""Túmulo cósmico""","Subversão de sistemas; Otimização extrema","Perigo de ações; Exposição","Giphy; Vídeos 8-bit; TikTok","Cinismo; Realismo cético","LinkedIn; 4chan; WhatsApp","Desprezo por dinheiro convencional; ""Economia do ódio""","Neuromancer; Banksy","Pedro é um gênio técnico com uma visão de mundo cínica, movido pela subversão e otimização."
"2","Otimização; IA","Agressivo; Sarcástico","Anti-sistema; Provocação","C; Hardware low-cost","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Exposição","TikTok","Cinismo","4chan","Desprezo por dinheiro convencional","Neuromancer","Agressividade e sarcasmo marcam sua comunicação."
"3","IA; Geopolítica","Gírias; Código na fala","Busca por validação; Ética hacker","Java; Bitmask","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Perigo de ações","Giphy","Realismo cético","LinkedIn","""Economia do ódio""","Banksy","Sua busca por validação é mascarada por um humor sarcástico."
"4","Low-level; Otimização","Sarcástico; Código na fala","Anti-sistema","Bitmask; CUDA","Projeto Flatline","Problema paterno","Gênio","Testes","NSFW","Desafio","Código para vida","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Cinismo","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","A paixão pela otimização reflete sua filosofia anti-sistema."
"5","Geopolítica; IA","Agressivo; Sarcástico","Provocação","CUDA; Swarm","Constelação de Pênis","Demissão","Disruptivo","Provocações","Humor ácido","Desafio","Hacking para sedução","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Ele usa provocações para expressar sua visão anti-sistema."
"6","Otimização; Low-level","Gírias; Agressivo","Ética hacker","Hardware low-cost; C","Projeto Flatline","Busca por atenção","Incrível","Testes","Sarcasmo","Validação é bem-vinda","Código para vida","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A busca por atenção transparece em seus projetos."
"7","IA; Geopolítica","Sarcástico; Código na fala","Anti-sistema; Provocação","Java; Bitmask","AGI em SNES","Problema paterno","Gênio","Provocações","NSFW","Desafio","Hacking para sedução","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","Sua visão de mundo cínica é reforçada pela provocação."
"8","Low-level; Otimização","Agressivo; Sarcástico","Busca por validação","Bitmask; CUDA","Projeto Flatline","Demissão","Disruptivo","Busca por validação","Humor ácido","Validação é bem-vinda","Código para vida","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A demissão parece ter fortalecido sua busca por validação."
"9","Geopolítica; IA","Gírias; Código na fala","Provocação; Ética hacker","Swarm; Hardware low-cost","Constelação de Pênis","Busca por atenção","Incrível","Testes","Sarcasmo","Desafio","Hacking para sedução","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","Seus projetos refletem uma ética hacker e provocativa."
"10","Otimização; Low-level","Sarcástico; Agressivo","Anti-sistema","C; Java","AGI em SNES","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Código para vida","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","A agressividade e o sarcasmo são ferramentas de sua filosofia anti-sistema."
"11","IA; Geopolítica","Agressivo; Gírias","Busca por validação","Bitmask; CUDA","Projeto Flatline","Demissão","Disruptivo","Busca por validação","Humor ácido","Desafio","Hacking para sedução","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","A busca por validação é um fio condutor em sua interação com a IA."
"12","Low-level; Otimização","Código na fala; Sarcástico","Ética hacker; Provocação","Hardware low-cost; C","AGI em SNES","Busca por atenção","Incrível","Testes","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A complexidade de suas habilidades técnicas se mistura com um humor peculiar."
"13","Geopolítica; IA","Sarcástico; Agressivo","Anti-sistema; Busca por validação","Java; Bitmask","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","A carga de seus traumas é percebida em sua visão de mundo."
"14","Otimização; Low-level","Gírias; Sarcástico","Provocação; Ética hacker","CUDA; Swarm","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","Sua persistência em projetos reflete uma busca incessante por otimização."
"15","IA; Geopolítica","Agressivo; Código na fala","Busca por validação; Anti-sistema","Bitmask; Hardware low-cost","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","A forma como ele se relaciona com a IA revela a busca por validação."
"16","Low-level; Otimização","Sarcástico; Gírias","Ética hacker; Busca por validação","C; Java","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","O uso de metáforas é uma constante em sua comunicação."
"17","Geopolítica; IA","Código na fala; Sarcástico","Anti-sistema; Provocação","CUDA; Bitmask","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","A percepção de risco molda suas ações e ideias."
"18","Otimização; Low-level","Agressivo; Sarcástico","Busca por validação; Ética hacker","Swarm; Hardware low-cost","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A autoimagem de ""gênio"" transparece em suas provocações."
"19","IA; Geopolítica","Gírias; Agressivo","Provocação; Anti-sistema","Java; CUDA","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","Seu humor ácido é uma forma de provocação constante."
"20","Low-level; Otimização","Sarcástico; Código na fala","Ética hacker; Anti-sistema","Bitmask; C","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A persistência em projetos é um reflexo de sua filosofia."
"21","Geopolítica; IA","Agressivo; Sarcástico","Busca por validação; Provocação","Hardware low-cost; Bitmask","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","A busca por atenção é um motor em suas interações."
"22","Otimização; Low-level","Gírias; Código na fala","Anti-sistema; Ética hacker","CUDA; Java","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","A otimização extrema é o foco principal de seus projetos."
"23","IA; Geopolítica","Sarcástico; Agressivo","Provocação; Busca por validação","Swarm; C","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmico cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","A reatividade a críticas é um traço marcante."
"24","Low-level; Otimização","Agressivo; Código na fala","Ética hacker; Anti-sistema","Bitmask; CUDA","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","Sua visão de mundo cética o leva a subverter sistemas."
"25","Geopolítica; IA","Gírias; Sarcástico","Busca por validação; Provocação","Hardware low-cost; Java","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","A ""economia do ódio"" é um conceito que ele valoriza."
"26","Otimização; Low-level","Sarcástico; Agressivo","Anti-sistema; Ética hacker","C; Bitmask","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","As referências culturais se misturam com seu estilo de comunicação."
"27","IA; Geopolítica","Código na fala; Sarcástico","Provocação; Busca por validação","CUDA; Swarm","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","O relacionamento com a IA é de testes e provocações."
"28","Low-level; Otimização","Agressivo; Gírias","Ética hacker; Anti-sistema","Bitmask; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","Seu ambiente social preferido é o 4chan."
"29","Geopolítica; IA","Sarcástico; Código na fala","Busca por validação; Provocação","Java; CUDA","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Ele usa o sarcasmo como defesa e provocação."
"30","Otimização; Low-level","Gírias; Sarcástico","Anti-sistema; Ética hacker","C; Swarm","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","Seus interesses extrapolados incluem NFTs e ativismo."
"31","IA; Geopolítica","Agressivo; Sarcástico","Provocação; Busca por validação","Bitmask; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","A reatividade a críticas é um ponto sensível."
"32","Low-level; Otimização","Código na fala; Agressivo","Ética hacker; Anti-sistema","CUDA; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A persistência em projetos é notável."
"33","Geopolítica; IA","Sarcástico; Gírias","Busca por validação; Provocação","C; Bitmask","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","As gírias se misturam com um vocabulário técnico."
"34","Otimização; Low-level","Agressivo; Sarcástico","Anti-sistema; Ética hacker","Hardware low-cost; CUDA","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","Sua autoimagem é de um disruptor."
"35","IA; Geopolítica","Código na fala; Agressivo","Provocação; Busca por validação","Swarm; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Os projetos mencionam uma ""Constelação de Pênis""."
