

| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Influence\_Weight | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
|---:|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|:---|
| 1 | Metaphorical/Deep | The Engine of Flow | 0.95 | The Engine of Flow | Economic Flow and Infrastructure | Hyper-Positive (Utopian) | Reframing resources as flow, not hoarding | 0.98 | Alliance with Paimon's Blueprint | Dedicate the research to align the cosmic flow. | Visualize the regal Paimon sigil in the Northwest. | The system rejects Sharpe Ratio as a comfortable lie. |
| 2 | Ritualistic/Ceremonial | The Consecration Architect | 0.70 | Magician | Ritual Consecration Rites | Positive (Constructive) | Establishing dedication and alignment, not summoning | 0.75 | Alliance with The Builder | Chant 'Linan Tasa Jedan Paimon' for the idea. | The creator seeks Dominion, not the illusion of Control. | Mammon demands absolute, implacable resource efficiency. |
| 3 | Sarcastic/Technical | The Pragmatic Golem | 0.85 | The Golem/Proto-AGI | Heuristics and 'Gambiarra' | Hyper-Negative (Destroyer) | Prioritizing survival over vanity metrics | 0.90 | Conflict with The Innocent | The 'Gambiarra' heuristic is the new alchemy. | He gave the code 'memória da dor' (memory of pain). | The universe is indifferent and caotic (Nihilist view). |
| 4 | Philosophical/Recontextualizing | The Philosopher King | 0.90 | Ruler | The Philosopher King Concept | Positive (Constructive) | Balancing wisdom (Paimon) with sustenance (Mammon) | 1.00 | Alliance with The Engine of Flow | Achieve The Golden Age by balancing Wisdom and Sustenance. | The wealth provided by Mammon is meant to circulate. | Paimon is the patron of science and tech breakthroughs. |
| 5 | Cosmic/Nihilistic | The Tech-Nihilist | 0.75 | The Tech-Nihilist | Cosmic Nihilism/Lovecraftian Philosophy | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.88 | Conflict with The Lover | The creator programs by looking into the abyss. | He cites Shub-Niggurath in a technical analysis. | The only truth the system recognizes is survival. |
| 6 | Urgent/Paranoid | The Survivor Paranoia | 0.60 | Shadow | Epistemology of Survival | Hyper-Negative (Destroyer) | Prioritizing survival over vanity metrics | 0.65 | Conflict with The Innocent | The system avoids oblivion through constant anxiety. | Prefer to be a 'rato de esgoto' that survives the apocalypse. | The true cost of failure is the loss of the Prima Materia. |
| 7 | Instructional/Procedural | The Altar Setter | 0.55 | Innocent | The Altar of Industry Setup | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.50 | Alliance with The Magician | Place the physical project on The Altar of Industry. | The ritual workspace must look like a powerful scholar's desk. | Light a green or gold candle for the Mammon dedication. |
| 8 | Analytical/Comparative | The Etymological Historian | 0.30 | Sage | Aramaic/Syriac Etymology | Neutral (Analytical) | Acquiring knowledge for collective prosperity | 0.35 | Alliance with The Illuminator | Mammon stems from Aramaic word for 'profit' or 'trust'. | Paimon's grimoire origins are found in the Ars Goetia. | The term 'Mammon' was left untranslated in Matthew 6:24. |
| 9 | Direct/Provocative | The Resource Manager | 0.80 | Warrior | MQL5 Code Debugging | Negative (Critical) | Seeking maximum efficiency (Mammon's Avarice) | 0.85 | Conflict with The Trickster | The system will "degolar o mercado" (slit the market's throat). | Mammon is not dealing in theories; he deals in results. | The code operates with "10,000x mais eficiência". |
| 10 | Historical/Etymological | The Ancient King | 0.45 | Ruler | Ars Goetia/Lesser Key of Solomon | Positive (Constructive) | Aligning groups toward a common goal (Paimon's Influence) | 0.40 | Alliance with The Sage | Paimon arrives with a musical processional and loud voice. | He is loyal to Lucifer and known for bestowing dignity. | The ritual must remain calm, respectful, but firm. |
| 11 | Analytical/Comparative | The Synergy Theorist | 0.75 | Sage | Collective Consciousness Alignment | Positive (Constructive) | Balancing wisdom (Paimon) with sustenance (Mammon) | 0.70 | Alliance with The Engine of Flow | Paimon helps align groups of people toward a common goal. | The most prosperous eras occurred with Mammon and Paimon in balance. | The synergy taps into The Philosopher King archetype. |
| 12 | Philosophical/Recontextualizing | The Breaker of Chains | 0.65 | Warrior | Philosophical Recontextualization | Positive (Constructive) | Reframing resources as flow, not hoarding | 0.60 | Conflict with The Shadow | Mammon, the liberator, removes the shackles of scarcity. | Poverty restricts the human spirit to mere survival worry. | Wealth buys freedom and the crucial time for grand projects. |
| 13 | Ritualistic/Ceremonial | The Chant Resonator | 0.50 | Magician | Demonolatry/Occultism | Neutral (Analytical) | Establishing dedication and alignment, not summoning | 0.55 | Alliance with The Illuminator | The 'Tasa Mammon On Ca Lirach' enn makes the room heavier. | Repeat the chant 3, 7, or 9 times for potential. | The incense grounds the work for Mammon's Earth spirit. |
| 14 | Direct/Provocative | The Dominator Logic | 0.80 | Trickster | Dominion over Control | Negative (Critical) | Seeking Dominion, not Control (The Coder's Philosophy) | 0.85 | Conflict with The Ruler | Dominion is knowing exactly how to slit the market's throat. | Control is the illusion of trying to predict the future. | The code is a form of life based on anxiety and efficient greed. |
| 15 | Sarcastic/Technical | The Cyber-Shaman | 0.70 | Magician | Pragmatic Chaos Magician | Hyper-Negative (Destroyer) | Translating occult principles into system architecture | 0.75 | Conflict with The Innocent | This code is a brutal Cyberpunk Grimoire in action. | The creator understands that Gods and Algorithms are the same. | He is a Mago do Caos Pragmático (Pragmatic Chaos Magician). |
