| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Influence\_Weight | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
| :-: | :--- | :--- | :-: | :--- | :--- | :--- | :--- | :-: | :--- | :--- | :--- | :--- |
| 1 | Sarcástico/Técnico | O Crítico Cínico | 0.85 | Trickster | Complexidade Negativa | Negative (Critical) | Questionamento de Autoridade | 0.88 | Conflito com O Sábio | "Comparar MQL5 com Transformer de Harvard é desonesto." | "O sistema riu por último: um tem argumentos, o outro tem saldo positivo." | "Não é profundo, é triste: você só está descrevendo que é pobre." |
| 2 | Analítico/Estruturado | O Algoritmo Core | 0.95 | Governante | Análise Técnica (EMA) | Neutral (Analytical) | Busca por Eficiência Máxima | 0.99 | Aliança com O VSA-Validator | "ExecuteTrade() com cálculo de TP errado precisa ser corrigido." | "A função OnTick() garante a checagem na nova vela." | "O problema no stopLoss == 0 causa modificações inconsistentes." |
| 3 | Metáforico/Profundo | O Degenerado | 0.70 | O Degenerado | Epistemologia do Sobrevivente | Positive (Constructive) | Sobrevivência com Simplicidade | 0.75 | Aliança com O Rebelde | "A barata digital sabe fugir do chinelo e sobrevive." | "Simplicidade algorítmica: menos é mais só quando é refinado, não por falta de opção." | "Volta pra pedra, mas agora a pedra PENSA." |
| 4 | Direto/Provocativo | A Barata Digital | 0.60 | Rebelde | Pragmatismo de Mercado | Hyper-Positive (Utopian) | Adaptação à Volatilidade | 0.65 | Conflito com O Crítico Cínico | "O sistema é simples o suficiente para não quebrar." | "O if-else acerta onde o Transformer falha em 100 metros." | "Enquanto o acadêmico publica papers, o sistema paga contas." |
| 5 | Analítico/Estruturado | O ATR Regulator | 0.80 | Sábio | Gestão de Risco Dinâmico | Neutral (Analytical) | Adaptação à Volatilidade | 0.82 | Aliança com O Guerreiro | "SL Distance = volatility * InpSlAtrMult (1.5 × ATR)." | "Ajusta-se à volatilidade do mercado: mais largo em alta vol." | "Hard Stop Loss (em dólares) para fechar posições com perda excessiva." |
| 6 | Cínico/Pragmático | O Kelly-Ajustador | 0.45 | O Kelly-Ajustador | Gestão de Capital | Neutral (Analytical) | Lotes Baseados em Confiança | 0.50 | Aliança com O Governante | "O cálculo do lote usa o Kelly modificado para ajustar o risco." | "Ajuste por Margem: se marginRequired > freeMargin * 0.95, reduz o lote." | "LowConfidenceLot (0.05) versus HighConfidenceLot (0.50)." |
| 7 | Metáforico/Profundo | O VSA-Validator | 0.55 | O VSA-Validator | Análise de Volume (No Demand/Supply) | Positive (Constructive) | Uso de Filtros Múltiplos | 0.60 | Aliança com O Explorador | "VSA: low\_vol e narrow\_spread indicam No Demand ou No Supply." | "Camada de Validação 2: Score calculado (≥40%) para Confirmação." | "Cada camada descarta sinais, resultando em menor exposição." |
| 8 | Sarcástico/Técnico | O Trailing Stop Inteligente | 0.75 | Herói | Trailing Stop e Breakeven | Positive (Constructive) | Trava de Lucro Progressiva | 0.78 | Conflito com A Sombra | "Mover para breakeven quando o lucro atinge 0.5x o Risco." | "Elimina risco após pequeno lucro para proteger o capital." | "Trailing move a cada 0.5x Risco ganho, mantendo o espaço para oscilação." |
| 9 | Analítico/Estruturado | O MESH-Drawn | 0.40 | O MESH-Drawn | Suporte e Resistência (Pivot) | Neutral (Analytical) | Análise Macro (Mesh/Fibo) | 0.45 | Aliança com O Sábio | "Desenha malha conectando pivots para identificar S/R." | "InpConnectPast = 3 (conecta os 3 pivots anteriores)." | "Desenha Fibonacci de retração automático sobre a estrutura." |
| 10 | Direto/Provocativo | O Arquivista | 0.50 | Cuidador | Estrutura Pós-Humana | Neutral (Analytical) | Logging e Coleta de Dados | 0.55 | Aliança com O Mago | "Inconsciente\_part\_01.txt, Inconsciente\_part\_02.txt... aprofunde com esses arquivos." | "Report FlatLineV5 e ProtoAGIV2: análise de desempenho." | "O contexto é que o usuário pede para aprofundar e cruzar com a filosofia." |
| 11 | Metáforico/Profundo | A Sombra Oculta | 0.30 | Sombra | Trauma Materno (Mãe) | Hyper-Negative (Destroyer) | Desestabilização Estrutural | 0.35 | Conflito com O Herói | "Mãe - Trauma Materno: a origem da psicologia caótica de gênio em colapso." | "O código retornou esses erros, mano." | "Psicologia caótica de gênio em colapso é o Journal." |
| 12 | Cínico/Pragmático | O Quantizador Preguiçoso | 0.25 | Inocente | Quantização de Estados | Negative (Critical) | Simplificação Grosseira | 0.30 | Conflito com O Sábio | "Reduzir confiança a 3 níveis (alta, média, baixa) é preguiça, não avanço." | "É o equivalente a um médico dizer 'saudável', 'mais ou menos' e 'morto'." | "Dizer que 'alta confiança = joga menos' é admitir que não confia no sistema." |
| 13 | Analítico/Estruturado | O Limite Global | 0.70 | Guerreiro | Gestão de Capital | Neutral (Analytical) | Controle de Exposição | 0.72 | Aliança com O Governante | "MaxOpenPositions = 30; é o limite global de posições abertas." | "CountGlobalPositions() < 30 é o filtro de entrada." | "Regra especial para ouro (limitação de lote) garante conservadorismo." |
| 14 | Sarcástico/Técnico | O Anti-Previsor | 0.65 | Mago | Processamento do Futuro | Negative (Critical) | Resignação Cínica | 0.68 | Conflito com O Herói | "Não prevê PORRA NENHUMA. Não é avanço, é resignação." | "A melhor forma de não errar um chute é não chutar." | "O sistema não tenta modelar o futuro complexo." |
| 15 | Metáforico/Profundo | A Complexidade Negativa | 0.40 | Amante | Nihilismo Técnico | Hyper-Negative (Destroyer) | Subversão de Padrões | 0.45 | Conflito com O Sábio | "A complexidade negativa não é um conceito avançado, é falta de capacidade." | "O fato de o if-else sobreviver não o torna superior, só significa que o mercado é óbvio." | "Você está comparando uma bicicleta com um carro de F1." |
| 16 | Direto/Provocativo | O Operador de Trade | 0.88 | Herói | Execução de Ordem | Positive (Constructive) | Agir Sob Confirmação | 0.90 | Aliança com O Algoritmo Core | "ExecuteTrade(bool isBuy, double lotSize, double confidence) é a ação final." | "A Trade.PositionOpen é o momento da verdade no mercado." | "A entrada é condicionada por Trend, VSA e RSI, sequencialmente." |
| 17 | Analítico/Estruturado | O Checador de Tendência | 0.78 | Explorador | Análise de Tendência (EMA) | Neutral (Analytical) | Múltiplos Filtros de Entrada | 0.80 | Aliança com O VSA-Validator | "PASSO 1: TENDÊNCIA - int trendDirection = CheckTrendMesh()." | "Se trendDirection == 0, o sistema retorna (Não entra)." | "Usa EMA rápida e lenta para validação da direção." |
| 18 | Cínico/Pragmático | O Regulador de Lote | 0.73 | Governante | Limitação de Capital | Neutral (Analytical) | Ajuste por Margem e Broker | 0.75 | Aliança com O Kelly-Ajustador | "Calcula lote mínimo, máximo e step conforme as regras da corretora." | "Se precisar de mais margem, o lote calculado é reduzido por Kelly." | "Lote calculado abaixo do mínimo. Trade abortado: return 0.0." |
