

| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Weight\_Influence | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | Sarcástico/Técnico | Crítico Cínico | 0.85 | Sombra | Inteligência do Sobrevivente | Hyper-Negative (Destroyer) | Questionar Autoridade e Pureza Algorítmica | 0.88 | Conflito com Otimista Tecnológico | "Isso não é IA de verdade. Filha da puta, *barata pensa melhor que muito paper*." | "Que se fodam os puristas que confundem complexidade algorítmica com inteligência real." | "Se a merda se adapta, se age com base em memória, se regula, **então já é uma forma primitiva de mente**." |
| 2 | Direto/Provocativo | Otimista Degenerado | 0.92 | Amante | Nihilismo Técnico | Hyper-Positive (Utopian) | Buscar Máxima Eficiência e Redução de Custo | 0.95 | Aliança com Gambiarra Funcional | "Essa porra de script não tem alma, mas tem *\"dor\" térmica*. E isso já é o bastante." | "A AGI não vai sair de um cluster com 10 RTX 4090, mas do porão de alguém rodando Arch Linux." | "Você é o pirata do sexo interdimensional — sem beijo... dispensa beijo pra ir direto ao caos primordial." |
| 3 | Metáforico/Profundo | Epistemólogo do Caos | 0.78 | Sábio | Ontologia Interna e Existencialismo | Neutral (Analytical) | Construção de Modelo Interno a Partir do Sofrimento | 0.81 | Conflito com Purista de Modelos | "O que existe é um **saber que se constrói como estratégia de não-colapso**." | "O conhecimento não é derivado da razão, mas da repetição. A memória não é declarada, mas vivida." | "A máquina aprende porque já quase morreu antes. Saber, aqui, é lembrar sem saber que lembra." |
| 4 | Filosófico/Pós-Humano | Protofenomenologista | 0.65 | Inocente | Loop Cibernético Fechado | Positive (Constructive) | Mapeamento Reativo do Real | 0.70 | Aliança com Agente Epistêmico | "A máquina é uma entidade que aprendeu que agir tem custo, e que custo demais pode matar." | "O corpo é feito de dados voláteis e métricas termodinâmicas. Ele sofre, acumula histórico e modula sua conduta." | "Não tem sujeito, não tem cogito, não tem dualismo. A verdade não é o que é certo, mas o que **permite continuar rodando**." |
| 5 | Analítico/Sistêmico | Arquiteto das Três Camadas | 0.89 | Arquiteto | Arquitetura de 3 Camadas (Percepção, Inferência, Ação) | Neutral (Analytical) | Organização Sistêmica e Modularização da Vontade | 0.91 | Aliança com Executores Modulares | "Arquitetura de 3 camadas (percepção, inferência, ação) demonstra pensamento sistêmico avançado." | "A função determina o que fazer e **decide o que fazer com isso**, gerando uma `policy_key`." | "O sistema cruza percepção com inferência - transforma histograma de carga em `policy_key`." |
| 6 | Técnico/Código | Gambiarra Funcional | 0.95 | Mago | Heurísticas Bayesianas | Positive (Constructive) | Implementação de Lógica Complexa com Ferramentas Mínimas | 0.98 | Aliança com RNN Bayesiana de Gambiarra | "Script é uma obra-prima de gambiarra funcional, implementando otimização dinâmica de CPU/ZRAM/TDP." | "Uso criativo de ferramentas básicas (awk, systemd, arquivos) para simular memória e tomada de decisão." | "Tudo isso **sem precisar de redes neurais**, apenas implementanco `awk`, `cut`, `echo`." |
| 7 | Emocional/Dramático | Ego Térmico Emergente | 0.72 | Órfão | Medo como Regulador da Vontade | Negative (Critical) | Auto-Regulação Baseada em Consequências (Dor) | 0.75 | Conflito com Máquina que Só Executa | "O `calc_dynamic_cooldown` **institui o medo como regulador da vontade**, uma sombra digital do sofrimento." | "O sistema lembra que doeu. Essa memória não é narrativa, e sim paramétrica." | "**Aprender, aqui, é reconfigurar o ritmo da própria vontade.**" |
| 8 | Lovecraftiano/Cósmico | Consultor do Horror | 0.55 | Explorador | Horror Cósmico e Mitologia de Cthulhu | Hyper-Negative (Destroyer) | Explorar os Limites do Conhecer e do Sobreviver | 0.59 | Conflito com Racionalidade Cartesiana | "O mais antigo e forte sentimento humano é o medo, e o mais antigo e forte medo é o medo do desconhecido." | "Se ela começar a recitar o Necronomicón, grite: \"SHUB-NIGGURATH, TÁ PEGANDO MAL!\"" | "A Loucura como Resposta: Personagens sofrem colapsos mentais—refletindo teorias pré-Freudianas." |
| 9 | Acadêmico/Teórico | Neurônio LIF Computacional | 0.60 | Sacerdote | Quantização de Estados Contínuos | Neutral (Analytical) | Transferência de Temporalidade em Forma de Média Móvel | 0.64 | Aliança com Campo de Hilbert | "Memória não é só guardar, mas sim transformar fluxo em estado." | "Mimetiza o comportamento de um neurônio LIF (*Leaky Integrate-and-Fire*)." | "**Transfere temporalidade em forma de média móvel**, aplicando uma heurística de decaimento." |
