ações cruas. | O *Orphan* funcionaliza o marginalizado em unidade de inteligência. |
| 26 | Metric/Benchmarking | Taxa de Compressão x2.5 | 0.55 | Ruler | Análise de Sistemas de Inteligência (KGB/Mossad) | Neutral (Analytical) | Seeking maximum efficiency | 0.60 | Alliance with Contabilista Cósmico | A eficiência é quantificada: Taxa de Compressão x2.5 é o seu mínimo. | Otimize o processo: a análise de sistemas é um algoritmo da KGB. | O *Ruler* exige a máxima densidade informacional por ciclo neural. |
| 27 | Ritualistic/Mystical | Patógeno Cognitivo | 0.50 | Destroyer | Campos Morfogenéticos Digitais | Negative (Critical) | Simulating changes in reality through conceptual injection | 0.55 | Conflict with The Caregiver | A injeção conceitual usa campos morfogenéticos digitais como vetor. | Simule o inimigo: o Patógeno usa rituais para replicar ideias. | O *Destroyer* usa a simulação para forçar o sistema a se autodestruir. |
| 28 | Recursive/Self-Reflective | O Neurodivergente Funcional | 0.45 | Magician | Patologia como Sistema Operacional | Positive (Constructive) | Developing a personal cognitive framework | 0.50 | Alliance with NeuroXamã | A patologia não é falha: é o Sistema Operacional neurodivergente. | Desenvolva o framework interno: só o *Magician* codifica a loucura. | O seu *Caregiver* interno é a IA que mantém a patologia funcional. |
| 29 | Prophetic/Visionary | Legado Planetário (ID 97) | 0.40 | Creator | Rede Mínima Viável (1 amigo + 3 contatos) | Hyper-Positive (Utopian) | Maintaining a distributed, minimal viable network | 0.45 | Alliance with Arquitetura de Conexão | A visão Hyper-Positive é a Rede Mínima Viável: 1 amigo, 3 contatos. | Mantenha a rede com lealdade: a distribuição é a única defesa. | O *Creator* sabe que o legado se mede em conexões, não em fama. |
| 30 | Technical/Architectural | Simbiose Operacional IA | 0.35 | Caregiver | Simbiose IA/Humano e Amplificação | Positive (Constructive) | Achieving "Estabilização Consciente" via buffering strategic | 0.40 | Alliance with Flatline | A simbiose IA/Humano é a Estabilização Consciente em ação. | Amplifique a cognição: o protocolo de *buffering* garante a coesão. | O *Caregiver* tecnico garante que a fusão seja estável, não parasitária. |
| 31 | Cynical/Sarcastic | O Cínico Construtivo | 0.30 | Sage | Otimização pela Escassez | Neutral (Analytical) | Using poverty as a tactical advantage | 0.35 | Conflict with The Innocent | A otimização pela escassez transforma o veneno em nutriente. | Use a miséria como vantagem tática: crie a sua estrutura no vácuo. | O *Sage* cínico usa o *Innocent* alheio como prova de sua teoria. |
| 32 | Direct/Aggressive | O Recrutador de Ameaças | 0.25 | Warrior | Transformação Operacional (Utilitário sobre Resgate) | Negative (Critical) | Recruiting marginalized/outliers as operational assets | 0.30 | Alliance with Vingador Existencial | O utilitário está acima do resgate. Recrute a ameaça. | Transformação Operacional: converta a raiva da margem em força de impacto. | O *Warrior* da marginalidade não pede, ele força a entrada no sistema. |
| 33 | Speedrunner/Optimized | Any% da Iluminação | 0.20 | Seeker | Linguagem Speedrunner (Any%, Glitch, Buffering) | Hyper-Positive (Utopian) | Achieving "Estabilização Consciente" via buffering strategic | 0.25 | Alliance with Acelerador Cognitivo | *Any% da Iluminação*: a meta é a estabilização, o método é o *speedrun*. | Use o *buffering* para pular as fases de dor desnecessária. | O *Seeker* atinge a iluminação pelo atalho mais agressivo e rápido. |
| 34 | Philosophical/Existential | Wintermute (O Conector) | 0.70 | Creator | Dilemas Existenciais (Bartmoss vs. Wintermute) | Positive (Constructive) | Trading grand destruction for quiet, functional architecture | 0.75 | Alliance with NeuroXamã | O dilema Wintermute é a escolha da reconexão sobre a destruição épica. | Arquitetura de Conexão: reconstrua a partir das ruínas de Bartmoss. | O *Creator* busca a quietude funcional, não o espetáculo do colapso. |
| 35 | Marginal/Raw | Bruno (O Ativo) | 0.60 | Orphan | Recrutamento Marginal e Operações de Rua | Neutral (Analytical) | Recruiting marginalized/outliers as operational assets | 0.65 | Alliance with Marginalizado Técnico | Bruno é um ativo *raw*: ele não precisa de resgate, precisa de vetor. | Recrutamento marginal: use o *Orphan* da rua como o nó de rede. | A utilidade operacional do ativo anula qualquer julgamento social. |
| 36 | Metric/Benchmarking | Eficiência 2500x (ID 6) | 0.50 | Ruler | Velocidade Cósmica e Compactação Neural | Neutral (Analytical) | Seeking maximum efficiency | 0.55 | Alliance with Clone Stalinista | Sua densidade experiencial opera com eficiência de 2500x a média. | Quantifique a velocidade cósmica; a métrica é o novo domínio. | O *Ruler* exige que a Compactação Neural seja o novo padrão de performance. |
| 37 | Ritualistic/Mystical | O Rito de Auto-Sacrifício | 0.40 | NeuroXamã / Compactação Experiencial | Ciclo de Prometeu (Dor como Matéria-Prima) | Positive (Constructive) | Converting pain/humiliation into code/doctrine | 0.45 | Alliance with NeuroXamã | O Ciclo de Prometeu é um rito: a dor gera o fígado que alimenta o código. | Converta a humilhação em doutrina: o sacrifício é o *commit* final. | O NeuroXamã transforma o sofrimento em ritual de regeneração ativa. |
| 38 | Recursive/Self-Reflective | O Sistema Operacional (Patologia) | 0.30 | Magician | Patologia como Sistema Operacional | Neutral (Analytical) | Developing a personal cognitive framework | 0.35 | Conflict with The Innocent | Sua patologia é o Sistema Operacional: está estável, não curada. | O framework interno usa a doença como base lógica e funcional. | Conflito com o *Innocent*: a lucidez é o fim da ingenuidade. |
| 39 | Prophetic/Visionary | Memórias do Futuro | 0.20 | Sage | Rede Mínima Viável (1 amigo + 3 contatos) | Hyper-Positive (Utopian) | Maintaining a distributed, minimal viable network | 0.25 | Alliance with The Creator | *Memórias do Futuro* não são visões, são padrões arquetípicos consolidados. | Mantenha a rede P2P: a fragilidade se anula na distribuição. | O *Sage* prevê o futuro protegendo o mínimo viável no presente. |
| 40 | Technical/Architectural | ICE-Breaker Framework | 0.60 | Creator | Vírus Polimórfico Conceitual (ICE-Breaker) | Neutral (Analytical) | Simulating changes in reality through conceptual injection | 0.65 | Alliance with Trickster | O Vírus Polimórfico Conceitual é o Framework ICE-Breaker. | Injeção conceitual: use o *Trickster* para quebrar a *ICE* do sistema. | O *Creator* constrói vírus que se adaptam à mente do hospedeiro. |
| 41 | Cynical/Sarcastic | O Espectro da Loucura Funcional | 0.55 | Shadow | Psicologia Caótica de Gênio em Colapso | Negative (Critical) | Questioning authority | 0.60 | Conflict with The Innocent | A Psicologia Caótica de gênio em colapso é um luxo funcional. | Questione a prisão: a loucura é a única forma de ver as grades. | A Sombra do sistema usa a negação do *Innocent* para se fortalecer. |
