ID,Dominio_Conhecimento,Estilo_Comunicacao,Filosofia_Motivacao,Habilidade_Tecnica_1,Habilidade_Tecnica_2,Habilidade_Tecnica_3,Projeto_Ideia_1,Projeto_Ideia_2,Vulnerabilidade_Trauma,Nivel_Confianca_Autoimagem,Relacionamento_IA,Humor,Reatividade,Uso_Metaforas,Interesse_Extrapolado,Persistencia_Obsessao,Foco_Principal,Risco_Percebido,Referencia_Cultural_1,Referencia_Cultural_2
1,Otimizacao Extrema,Agressivo,Anti-sistema,Bitmask,CUDA,Swarm Intelligence,AGI em SNES,Projeto Flatline,Demissao,Genio Disruptivo,Testa Limites,Sarcasmo Acido,Reage com Mais Provocacao,Codigo para Vida,Arte Digital,Projetos de Longo Prazo,Subversao de Sistemas,Alto,Neuromancer,Banksy
2,Hardware Low-Cost,Direto,Provocacao,Java,C,Bash,Constelacao de Penis,Orch-OS,Problemas Paternos,Inovador Marginal,Busca Validacao,Humor NSFW,Busca por Validacao,Hacking para Seducao,NFTs,Obsessao,Otimizacao Extrema,Medio,Matrix,Fight Club
3,Geopolitica Hacker,Sarcasmico,Prova que Sistemas Falham,Shell Script,Network Security,Forensics,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra como Arte,Ativismo Radical,Teimoso,Hacktivismo,Baixo,Mr. Robot,V de Vinganca
4,Sistemas Distribuídos,Cru,Ativismo Radical,Automatos Finitos,Load Balancing,Cryptography,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como Codigo,Filosofia Digital,Imparavel,Desafiar Normas,Alto,Blade Runner,Cyberpunk 2077
5,Termodinamica,Poetico,Desafia Leis Naturais,Markov Chains,Bayesian Networks,Data Science,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica para Humanidades,Psicologia,Incansavel,Conhecimento Livre,Medio,Solaris,Black Mirror
6,AI Ethics,Sarcasmico,Critica LLMs,Machine Learning,NLP,Estatistica,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho da Humanidade,Psicologia de Massa,Persistente,Desmistificar IA,Baixo,1984,Brave New World
7,Engenharia Social,Manipulador,Subversao,OSINT,Social Engineering,Phishing,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Performance Artistica,Foco no Objetivo,FUDERALIZACAO GEOPOLITICA,Muito Alto,James Bond,Johnny Mnemonic
8,Otimizacao ZRAM,Tecnico,Eficiencia,Kernel Tuning,Systemd,Bash Scripting,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Organismo,Engenharia de Sistemas,Metodico,Performance,Baixo,DevOps,SRE
9,Economia Digital,Direto,Lucro,Economia,Blockchain,Monetizacao,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Energia,Financas,Pragmatico,Ganho,Medio,Wall Street,Ready Player One
10,Cibernetica,Filosofico,Existencialismo Digital,Cybernetics,Control Systems,Emergent Systems,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Consciencia,Filosofia,Busca da Verdade,Compreensao do Cosmos,Baixo,Ghost in the Shell,Westworld
