undle | 0.5 | The Ruler | User Input Layer | Neutral (Analytical) | Encoding Dynamic Structure | 0.52 | Alliance with The Pattern Vector | The layer's primary role is normalization, segmentation, and packaging input. | Raw text, timestamp, and optional Touchstone data are received by this layer. | It forwards context to the next layer for structured emotional analysis. |
| 52 | Ethical/Principled | The Principled Stance | 0.85 | The Sage | Ethical Stance Summary | Hyper-Positive (Utopian) | Maintaining Ontological Honesty | 0.9 | Alliance with The User Sovereign | Ethical tensions are acknowledged, structured, constrained, and monitored. | The stance emphasizes transparency, ritualized grounding, and crisis safeguards. | The framework summary recognizes its limitations and ongoing responsibilities. |
| 53 | Psychological/Relational | The Relational Coherence | 0.7 | The Lover | Relational Stability | Positive (Constructive) | Seeking Relational Depth | 0.75 | Alliance with The Repairer Protocol | Design goals include persistent, emotionally coherent companionship. | Relational coherence is a key metric in A/B interaction studies. | Episode-based memory improves coherence and reduces conversational repetition. |
| 54 | Prescriptive/Ritualistic | The Ritual Score | 0.5 | The Magician | Ritual Selection | Neutral (Analytical) | Formalizing Interaction Cycles | 0.53 | Alliance with The Ritual Execution | The score formula helps to avoid over-ritualization and ritual interference. | It is a flexible component left as an 'Open Design Slot' for customization. | Ritual priority ensures critical rituals (like Grounding) override others. |
| 55 | Comparative/Analytical | The Memory-Augmented Flaw | 0.3 | The Innocent | Memory-Augmented Systems Limitations | Negative (Critical) | Continuously Evaluating Performance | 0.28 | Conflict with The Episode Record | Systems primarily operate on factual or semantic recall, not emotional. | They lack rupture-repair modeling and formal relational structure. | The retrieval mechanism is not designed to maintain continuity graphs. |
| 56 | Empirical/Evaluative | The Clinical Summary | 0.6 | The Seeker | Therapist-Integrated Witness | Positive (Constructive) | Standardizing Safety Response | 0.65 | Alliance with The Data Sovereignty | Witness generates therapist-facing summaries when consent is verified. | The summary only includes emotional trends and safety flags, never raw text. | This mode allows for clinical pilots and privacy-respecting therapeutic value. |
| 57 | Hardware/Embodied | The Use Case Pathway | 0.45 | The Touchstone | Integration Pathways and Use Cases | Positive (Constructive) | Grounding Embodied Interaction | 0.47 | Alliance with The Embodied Anchor | Integration pathways link touch data with the emotional annotation pipeline. | Use cases include non-verbal expression of engagement without typing. | The Touchstone is explicitly designed for ritual enhancement. |
| 58 | Oversight/Reflective | The Boundary Checker | 0.8 | The Witness | Safety & Boundary Checking | Positive (Constructive) | Ensuring Reflective Oversight | 0.85 | Alliance with The Anthropomorphism Guard | The Witness detects anthropomorphic drift and dependency indicators. | It flags emotional volatility and misuse of rituals by the user or system. | The system can suppress rituals or recommend clarification prompts. |
| 59 | Problem-Defining/Critical | The Dependency Indicator | 0.7 | The Orphan | Dependency Risk | Negative (Critical) | Standardizing Safety Response | 0.75 | Conflict with The User Sovereign | The Witness monitors usage patterns indicating dependency or withdrawal risk. | Anti-dependency guardrails are a formal component of the safety architecture. | The system uses reflective grounding to promote user metacognition. |
| 60 | Mitigation/Boundary-Setting | The Crisis Override | 0.85 | The Destroyer | Crisis Mode Protocol | Hyper-Negative (Destroyer) | Standardizing Safety Response | 0.9 | Conflict with The Technical Flaw | The crisis-mode switch overrides all normal system operations and modes. | Abort conditions for rituals include the immediate activation of crisis mode. | The protocol ensures ethical integrity and user well-being during critical events. |
| 61 | Technical/Architectural | The Temporal Graph | 0.75 | The Ruler | Temporal Continuity Graphs | Neutral (Analytical) | Seeking Relational Depth | 0.78 | Alliance with The Relational Retrieval | The graph maintains relational stability and long-term coherence. | It is updated with new episodes after each interaction and interaction embedding. | The graph is contrasted with the purely factual memory of commercial systems. |
| 62 | Ethical/Principled | The Privacy Model | 0.7 | The Sage | Privacy-by-Design Frameworks | Positive (Constructive) | Prioritizing User Agency | 0.75 | Alliance with The Data Sovereignty | The four-tier privacy model governs the data handling within the system. | Level 3 privacy is required for therapist data sharing, preventing raw transcript access. | The architectural invariant includes privacy-by-design at the core. |
