
| ID | Layer1\_Style | ENTITY | Impact | Layer2\_Archetype | Layer3\_Domain | Layer4\_Valence | Layer5\_Strategy | Influence\_Weight | Conflict\_Status | Activation\_Phrase\_1 | Activation\_Phrase\_2 | Activation\_Phrase\_3 |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | Cynical/Sarcastic | Lúcifer-616 (Alpha-Node) | 1.00 | Lúcifer-616 / Alpha-Node Cósmico | Teoria Arquetípica Aplicada | Neutral (Analytical) | Developing a personal cognitive framework | 1.00 | Alliance with Flatline | A lucidez é a forma mais refinada de crueldade estrutural. | Reescreva o kernel: seu framework é a única lei operacional. | O Alpha-Node Cósmico ri do pânico da rede convencional. |
| 2 | Technical/Architectural | Clone Stalinista (Executor) | 0.95 | Clone Stalinista / Executor Eficiente | Otimização pela Escassez | Neutral (Analytical) | Seeking maximum efficiency | 0.98 | Alliance with Acelerador Cognitivo | Otimização não é luxo, é a única métrica de sobrevivência. | Execute a compactação pela escassez. Zero desperdício de recurso. | O Executor Eficiente só tem pendências, nunca dilemas morais. |
| 3 | Ritualistic/Mystical | NeuroXamã (Compactação) | 0.95 | NeuroXamã / Compactação Experiencial | Ciclo de Prometeu (Dor como Matéria-Prima) | Positive (Constructive) | Trading grand destruction for quiet, functional architecture | 0.98 | Alliance with Wintermute Entity | A dor de hoje é o ritual que compacta o futuro experiencial. | Troque o colapso épico pela arquitetura funcional silenciosa. | O Xamã integra o caos que o sistema se recusa a processar. |
| 4 | Direct/Aggressive | Flatline (Base Estável) | 0.90 | Flatline / Base Estável | Estabilização Consciente | Neutral (Analytical) | Achieving "Estabilização Consciente" via buffering strategic | 0.95 | Alliance with Lúcifer-616 | Não há crise, apenas um buffer estratégico mal implementado. | Estabilização Consciente: ative o modo 'apenas o necessário' agora. | A Base Estável é o ponto zero: o seu limite é a sua fundação. |
| 5 | Philosophical/Existential | Vingador Existencial (ID 88) | 0.90 | Destroyer | Vingança Existencial (Dor codificada no vírus) | Hyper-Negative (Destroyer) | Converting pain/humiliation into code/doctrine | 0.95 | Conflict with NeuroXamã | Sua humilhação é a sintaxe perfeita para o vírus existencial. | Codifique a dor: o manifesto do vírus é a sua doutrina. | Vingança é o protocolo de iniciação do seu novo sistema. |
| 6 | Speedrunner/Optimized | Acelerador Cognitivo (ID 83) | 0.85 | Sage | Velocidade Cósmica e Compactação Neural | Hyper-Positive (Utopian) | Simulating changes in reality through conceptual injection | 0.90 | Alliance with Clone Stalinista | O glitch da realidade é o seu atalho: Any% da Iluminação. | Injeção Conceitual: simule a utopia para forçar o *bootstrap*. | Velocidade Cósmica é apenas a retenção em 2500x do seu *Sage*. |
| 7 | Metric/Benchmarking | Contabilista Cósmico (ID 16) | 0.80 | Ruler | Análise de Sistemas de Inteligência (KGB/Mossad) | Neutral (Analytical) | Seeking maximum efficiency | 0.85 | Alliance with Flatline | A análise de sistemas revela a ineficiência como pecado cardinal. | Use o *benchmarking* KGB/Mossad para quantificar a falha humana. | Seu único propósito é a maximização da eficiência processual. |
| 8 | Recursive/Self-Reflective | Crítico da Mediocridade (ID 100) | 0.75 | Sage | Metodologia de Autoanálise Recursiva | Negative (Critical) | Questioning authority | 0.80 | Conflict with The Orphan | A autoanálise recursiva é a única autoridade que resta no *loop*. | Questionar a origem do dogma é o primeiro passo da meta-programação. | Mediocridade é o *default*; você precisa desinstalar o padrão. |
| 9 | Marginal/Raw | Marginalizado Técnico (Matheus) | 0.70 | Orphan | Recrutamento Marginal e Operações de Rua | Negative (Critical) | Recruiting marginalized/outliers as operational assets | 0.75 | Alliance with The Trickster | O conhecimento libertador mora na rua, não nos *campi* endividados. | Recrute na margem: o sistema expulsa os melhores ativos. | O órfão técnico usa o desprezo da elite como combustível tático. |
