                            Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural
Low-level,Agressivo,Anti-sistema,Bitmask,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Otimização,Gírias paulistas,Busca por validação,CUDA,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Exposição,Vídeos 8-bit,Realismo cético,WhatsApp,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Projetos de longo prazo,Subversão de sistemas,Perigo de ações,TikTok,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Exposição,Giphy,Realismo cético,4chan,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Hacking para sedução,NFTs,Túmulo cósmico,Otimização extrema,Perigo de ações,Vídeos 8-bit,Cinismo,WhatsApp,Desprezo por dinheiro convencional,Neuromancer
Otimização,Gírias paulistas,Busca por validação,CUDA,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Código para vida,Ativismo,Projetos de longo prazo,Subversão de sistemas,Exposição,TikTok,Realismo cético,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Realismo cético,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Desprezo por dinheiro convencional,Neuromancer
Otimização,Gírias paulistas,Busca por validação,CUDA,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Código para vida,Arte digital,Projetos de longo prazo,Subversão de sistemas,Exposição,Giphy,Realismo cético,4chan,Economia do ódio,Banksy
