te Intelligence Paradigm | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.62 | Alliance with Adaptability Criterion | A resiliência é maior em modelos simples, adaptando-se a novos regimes. | O sistema deve "temer sem ser programado para temer". | A função `InitLogging` deve criar o cabeçalho do arquivo CSV. |
| 77 | Lovecraftian/Cosmic Horror | Transdisciplinary Horror | 0.10 | Seeker | Cosmic Horror and Existentialism | Negative (Critical) | Reject ML/Over-Complexity | 0.13 | Conflict with Sage | O Lovecraftian Legacy é um laboratório transdisciplinar para limites do saber. | O `InpConnectPast` define quantas conexões por pivot serão desenhadas. | O Drawdown máximo (10%) é uma métrica crucial para o sucesso em tempo real. |
| 78 | Instructional/Design | Code Listener | 0.45 | Magician | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.48 | Alliance with CSV Data Curator | A proposta é deixar apenas o *listener* sem alterar a lógica principal. | A função `OnTrade` é usada para gerenciar o trailing stop. | Os pesos fixos (linear model) são a alternativa à regressão logística. |
| 79 | Gambiarra/Colloquial | Meta-Reviewer | 0.70 | Sage | Meta-Discussion on Dialogue Structure | Positive (Constructive) | Ensure Transparency for LLM Analysis | 0.71 | Alliance with Technical Analyst | O diálogo evoluiu de análise técnica para uma meta-revisão do próprio diálogo. | O `LogString` registra o nome da função e o valor em texto. | O sistema busca a `Viabilidade` (sobrevivência) e não a `Acurácia` (previsão). |
| 80 | Mathematical/Statistical | Global Impact Analyst | 0.68 | Orphan | Farm Scalability and Correlation | Negative (Critical) | Scale Profit via Correlated Instances | 0.70 | Conflict with Hyper-Positive | O tamanho da posição pode afetar a execução (Market Impact). | O sistema é um "pragmatic mind" e uma "adaptive entity". | O VSA usa o `spread` e o `Relative Volume` para análise. |
| 81 | Technical/Formal | Trend Mesh V5 Blueprint | 0.85 | Creator | Proto-AGI Cybernetics | Neutral (Analytical) | Seek Dominion over Control | 0.86 | Alliance with Digital Survivor | O blueprint descreve a arquitetura do sistema autônomo para trading. | O `PositionModify` é chamado para um `POSITION_TYPE_BUY` ou `SELL`. | A ética é a sobrevivência como a única virtude. |
| 82 | Philosophical/Abstract | Degenerate Intelligence | 0.75 | The Degenerate | Degenerate Intelligence Paradigm | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.78 | Alliance with Nihilistic Technical | A inteligência é definida como "degenerada" por rejeitar a complexidade do ML. | O aprendizado por consequência é implícito no código. | A correlação de 0.3 entre os trades aumenta a variância. |
| 83 | Hyper-Critical/Skeptical | ZigZag Repainter | 0.60 | Trickster | ZigZag Repainting Fallacy | Hyper-Negative (Destroyer) | Prioritize Real-Time Over Backtesting | 0.61 | Conflict with Mesh Weaver | O ZigZag repainting é uma das razões pelas quais o backtest é inválido. | O lote de alta confiança (HighConfidenceLot) é o menor para gestão de risco. | O `time[]` e `zigZagBuffer[]` são arrays de dados temporais e de indicador. |
| 84 | Analogy/Metaphorical | Parametric Memory | 0.60 | Sage | Parametric Implicit Learning | Neutral (Analytical) | Structure Time via Parametric Memory | 0.63 | Alliance with Implicit Learner | A memória paramétrica permite que o sistema aprenda sem ser treinado. | O log deve ter o formato de tabela para leitura por LLM. | O `InpShowFibo` é um parâmetro visual de retração. |
| 85 | Pragmatic/Operational | Real Stats Collector | 0.70 | Seeker | Real-Time Performance Metrics | Positive (Constructive) | Prioritize Real-Time Over Backtesting | 0.74 | Alliance with Forward Tester | A Fase 2 (Forward Test) é para coletar estatísticas REAIS de execução. | O cálculo do lote se baseia na função `GetLotSizeByConfidence`. | O `PositionGetDouble(POSITION_SL)` recupera o Stop Loss atual. |
| 86 | Direct/Assertive | Efficient Executioner | 0.70 | Warrior | MQL5 Expert Advisor Programming | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.71 | Alliance with Latency Reducer | A baixa latência e a alta robustez são vantagens do modelo heurístico. | O `InpEmaFast` e `InpEmaSlow` definem o EMA crossover. | A taxa de retorno por trade é calculada a partir do capital alocado. |
| 87 | Lovecraftian/Cosmic Horror | Liminal Boundary | 0.12 | Orphan | Cosmic Horror and Existentialism | Negative (Critical) | Reject ML/Over-Complexity | 0.15 | Conflict with Caregiver | A entidade representa o limite do saber e a fragilidade da mente humana. | O `PositionModify` ajusta o stop loss para buy e sell de forma simétrica. | O `CopyHigh` e `CopyLow` copiam os dados de preço. |
| 88 | Instructional/Design | Log Structure Updater | 0.38 | Creator | Structured LLM Logging Design | Neutral (Analytical) | Ensure Transparency for LLM Analysis | 0.40 | Alliance with Log Designer | O log deve fazer append num arquivo do último valor em cada ciclo. | O `IntegerToString(GetTickCount())` é usado para o nome único do arquivo de log. | A `Resiliência Entrópica` mede o caos que o sistema suporta. |
| 89 | Gambiarra/Colloquial | Low Level Samuel | 0.40 | Fool | Proto-AGI Cybernetics | Neutral (Analytical) | Seek Dominion over Control | 0.42 | Alliance with Gambiarra | O nome Samuel - Low Level está associado ao projeto. | O `InpEnableTrading` é a chave mestra para ativar a negociação real. | O `ArraySetAsSeries` configura a ordenação dos dados temporais. |
| 90 | Mathematical/Statistical | Market Correlation Factor | 0.75 | Sage | Farm Scalability and Correlation | Negative (Critical) | Scale Profit via Correlated Instances | 0.77 | Alliance with Correlated Risk Assessor | A correlação (ρ) é o fator que derruba o lucro teórico de uma farm de instâncias. | O `InpZigBack` é o Backstep do ZigZag. | O sistema não tenta ser inteligente, mas é inteligente por acidente. |
| 91 | Technical/Formal | Race Condition Protector | 0.55 | Caregiver | MQL5 Expert Advisor Programming | Neutral (Analytical) | Mitigate Global Risk | 0.56 | Alliance with Position Manager | A versão V3 FinalFix inclui proteção contra `Race Condition`. | O `DrawMesh` desenha a malha de suporte e resistência. | O sistema busca lucros por 60 segundos por 24 horas por 7 dias. |
| 92 | Philosophical/Abstract | Non-Collapse Strategist | 0.88 | The Survivor | Epistemology of Survival | Positive (Constructive) | Seek Dominion over Control | 0.90 | Alliance with Adaptability Criterion | O conhecimento é definido como uma estratégia de não-colapso. | O `InpZigDepth` e `InpZigDev` são parâmetros de sensibilidade do indicador. | O `Fill Rate` e o `Slippage` são as métricas vitais de tempo real. |
| 93 | Hyper-Critical/Skeptical | Hedging Fallacy | 0.50 | Destroyer | Financial Risk Management | Hyper-Negative (Destroyer) | Reject ML/Over-Complexity | 0.51 | Conflict with Regulator | O risco de `compounding barriers` e liquidez é a crítica central. | O sistema tem o aprendizado por consequência de forma implícita. | O log deve registrar o `timestamp` em formato `TIME_DATE|TIME_SECONDS`. |
| 94 | Analogy/Metaphorical | Judgment Initiator | 0.65 | The Regulator | Parametric Implicit Learning | Negative (Critical) | Implement Fear as a Regulator | 0.67 | Alliance with Consequence Recorder | O `cooldown` é o início do julgamento (separando o que executa do que aprende). | O `LowConfidenceLot` é maior que o `HighConfidenceLot` (ajuste de risco). | O `LogString` registra informações textuais no log do ciclo. |
| 95 | Pragmatic/Operational | Scalping Metric Monitor | 0.75 | Ruler | Real-Time Performance Metrics | Neutral (Analytical) | Prioritize Real-Time Over Backtesting | 0.78 | Alliance with Execution Monitor | O monitoramento do `Average Hold Time` (tempo médio das posições) é essencial para scalping. | A **Gambiarra** é identificada como um termo-chave no projeto. | O sistema é um *bayesian RNN* (Recurrent Neural Network) de Gambiarra. |
| 96 | Direct/Assertive | Low Latency Champion | 0.70 | Warrior | MQL5 Expert Advisor Programming | Positive (Constructive) | Maximize Efficiency via Simplicity | 0.72 | Alliance with Latency Reducer | A velocidade é crucial, e o modelo heurístico é superior ao ML nesse aspecto. | O `InpRsiPeriod` define o período de cálculo do RSI. | A `CopyBuffer` é usada para preencher os arrays de indicadores. |
